Id,Name,
10000001,Kate,
10000002,Kamisato Ayaka,
10000003,Jean,
10000005,Viajante,
10000006,Lisa,
10000007,Viajante,
10000014,Barbara,
10000015,Kaeya,
10000016,Diluc,
10000020,Razor,
10000021,Amber,
10000022,Venti,
10000023,Xiangling,
10000024,Beidou,
10000025,Xingqiu,
10000026,Xiao,
10000027,Ningguang,
10000029,Klee,
10000030,Zhongli,
10000031,Fischl,
10000032,Bennett,
10000033,Tartaglia,
10000034,Noelle,
10000035,Qiqi,
10000036,Chongyun,
10000037,Ganyu,
10000038,Albedo,
10000039,Diona,
10000041,Mona,
10000042,Keqing,
10000043,Sucrose,
10000044,Xinyan,
10000045,Rosaria,
10000046,Hutao,
10000047,Kaedehara Kazuha,
10000048,Yanfei,
10000049,Yoimiya,
10000050,Thoma,
10000051,Eula,
10000052,Shogun Raiden,
10000053,Sayu,
10000054,Sangonomiya Kokomi,
10000055,Gorou,
10000056,Kujou Sara,
10000057,Arataki Itto,
10000058,Yae Miko,
10000059,Shikanoin Heizou,
10000060,Yelan,
10000061,Kirara,
10000062,Aloy,
10000063,Shenhe,
10000064,Yunjin,
10000065,Kuki Shinobu,
10000066,Kamisato Ayato,
10000067,Collei,
10000068,Dori,
10000069,Tighnari,
10000070,Nilou,
10000071,Cyno,
10000072,Candace,
10000073,Nahida,
10000074,Layla,
10000075,Andarilho,
10000076,Faruzan,
10000077,Yaoyao,
10000078,Alhaitham,
10000079,Dehya,
10000080,Mika,
10000081,Kaveh,
10000082,Baizhu,
10000083,Lynette,
10000084,Lyney,
10000085,Freminet,
10000086,Wriothesley,
10000087,Neuvillette,
11000008,Teste de Equipe N° 4,
11000009,Teste de Plano de Fundo,
11000010,Modelo Pelado N° 1,
11000011,Homem Pelado,
11000013,Teste multijogador,
11000017,Teste de Corpo Adulto Masculino,
11000018,Teste de Corpo Adulto Feminino,
11000019,Teste de Corpo de Dama,
11000025,Akuliya,
11000026,Yaoyao (Teste),
11000027,Teste de Corpo Feminino - Máquina N° 2,
11000028,Garota da Caixa Branca,
11000030,Garota da Grande Espada,
11000031,Teste de Arma Posterior A,
11000032,Teste de Arma Posterior B,
11000033,Teste de Arma Posterior C,
11000034,Teste de Arma Posterior D,
